sentence,relation,head,head_offset,tail,tail_offset
王凯同志任市公共资源交易监督管理局副局长,就职,王凯,0,市公共资源交易监督管理局,5
任命：王勇为滨州市生态环境局副局长,就职,王勇,3,生态环境局,9
任命：王志刚为滨州市生态环境服务中心主任,就职,王志刚,3,生态环境服务中心,10
任命：袁东为滨州市生态环境服务中心副主任,就职,袁东,3,生态环境服务中心，9
任命：魏双全为滨州市生态环境服务中心副主任,就职,魏双全,3,生态环境服务中心,10
免去：王志刚的滨州市生态环境局副局长职务,免职,市生态环境局,9,王志刚,3
免去：王志刚的滨州市生态环境局副局长职务,离职,王志刚,3,市生态环境局,9
任命：张兵为滨州畜牧兽医研究院院长,就职,张兵,3,畜牧兽医研究院,8
任命：陈胜林为滨州市海洋发展研究院院长,就职,陈胜林,3,海洋发展研究院,9
任命：任贵如为滨州市海洋发展研究院副院长,就职,任贵如,3,海洋发展研究院,9
任命：孙同秋为滨州市海洋发展研究院副院长,就职,孙同秋,3,海洋发展研究院,9
任命：崔方锋为滨州市教育科学研究院副院长,就职,崔方锋,3,教育科学研究院,9
任命：王峰为滨州市教育科学研究院副院长,就职,王峰,3,教育科学研究院,8
任命：张兵为滨州畜牧兽医研究院院长,任职,畜牧兽医研究院,8,张兵,3
任命：陈胜林为滨州市海洋发展研究院院长,任职,海洋发展研究院,9,陈胜林,3
任命：任贵如为滨州市海洋发展研究院副院长,任职,海洋发展研究院,9,任贵如,3
任命：孙同秋为滨州市海洋发展研究院副院长,任职,海洋发展研究院,9,孙同秋,3
任命：崔方锋为滨州市教育科学研究院副院长,任职,教育科学研究院,9,崔方锋,3
任命：王峰为滨州市教育科学研究院副院长,任职,教育科学研究院,8,王峰,3
任贵如原任的滨州市海洋与渔业产品质量检测中心主任职务自然免除,免职,海洋与渔业产品质量检测中心,9,任贵如,0
孙同秋原任的滨州市海洋与渔业研究所所长职务自然免除,免职,海洋与渔业研究所,9,孙同秋,0
王峰原任的滨州市教育科学研究院院长职务自然免除,免职,教育科学研究院,8,王峰,0
免去：杨宝剑的滨州市教育局副局长职务,免职,教育局,10,杨宝剑,3
免去：陈胜林的滨州市海洋发展和渔业局副局长职务,免职,海洋发展和渔业局,10,陈胜林,3
免去：刘树泽的滨州市农业科学院副院长职务,免职,农业科学院,10,刘树泽,3
免去：沈志强的滨州畜牧兽医研究院院长职务,免职,畜牧兽医研究院,9,沈志强,3
任贵如原任的滨州市海洋与渔业产品质量检测中心主任职务自然免除,离职,任贵如,0,海洋与渔业产品质量检测中心,9
孙同秋原任的滨州市海洋与渔业研究所所长职务自然免除,离职,孙同秋,0,海洋与渔业研究所,9
王峰原任的滨州市教育科学研究院院长职务自然免除,离职,王峰,0,教育科学研究院,8
免去：杨宝剑的滨州市教育局副局长职务,离职,杨宝剑,3,教育局,10
免去：陈胜林的滨州市海洋发展和渔业局副局长职务,离职,陈胜林,3,海洋发展和渔业局,10
免去：刘树泽的滨州市农业科学院副院长职务,离职,刘树泽,3,农业科学院,10
免去：沈志强的滨州畜牧兽医研究院院长职务,离职,沈志强,3,畜牧兽医研究院,9
王刚同志聘任为福州市金融工作办公室副主任,就职,王刚,0,金融工作办公室,10
朱育菁同志聘任为福州市农业局副局长,就职,朱育菁,0,农业局,11
吴锦忠同志聘任为福州市卫生局副局长,就职,吴锦忠,0,卫生局,11
陈贵松同志聘任为福州市旅游局副局长,就职,陈贵松,0,旅游局,11
王刚同志聘任为福州市金融工作办公室副主任,任职,金融工作办公室,10,王刚,0
朱育菁同志聘任为福州市农业局副局长,任职,农业局,11,朱育菁,0
吴锦忠同志聘任为福州市卫生局副局长,任职,卫生局,11,吴锦忠,0
陈贵松同志聘任为福州市旅游局副局长,任职,旅游局,11,陈贵松,0
刘萍同志任中共小庙镇郑岗村支部委员会委员,就职,刘萍,0,中共小庙镇郑岗村支部委员会,5
刘毅同志任劳保所所长,就职,刘毅,0,劳保所,5
卢跃同志任农经站站长,就职,卢跃,0,农经站,5
杨修云同志任工会副主席,就职,杨修云,0,工会,6
金萍萍同志任外宣办主任,就职,金萍萍,0,外宣办,6
徐慧同志任卫健办副主任,就职,徐慧,0,卫健办,5
唐洁同志兼任乡为民服务中心财政窗口工作人员,就职,唐洁,0,为民服务中心,7
石磊同志任仪征经济开发区党政办公室正股职干部,就职,石磊,0,仪征经济开发区党政办公室,5
陈艳娟同志任仪征经济开发区党群工作局正股职干部,就职,陈艳娟,0,仪征经济开发区党群工作局,6
王玮同志任仪征经济开发区党群工作局正股职干部,就职,王玮,0,仪征经济开发区党群工作局,5
张怡同志任仪征经济开发区财政和资产管理局正股职干部,就职,张怡,0,仪征经济开发区财政和资产管理局,5
冯美星同志任仪征经济开发区财政和资产管理局正股职干部,就职,冯美星,0,仪征经济开发区财政和资产管理局,6
熊彬同志任仪征经济开发区规划建设局正股职干部,就职,熊彬,0,仪征经济开发区规划建设局,5
陈娇同志任仪征经济开发区党群工作局副股职干部,就职,陈娇,0,仪征经济开发区党群工作局,5
张琳同志任仪征经济开发区应急管理和生态环境局副股职干部,就职,张琳,0,仪征经济开发区应急管理和生态环境局,5
任命：王安民为青岛市科学技术局局长,就职,王安民,3,科学技术局,10
任命：王凯为青岛市民政局局长,就职,王凯,3,民政局,9
